owner,edited,score,creation_date,post_id,comment_id,content_license
"{'account_id': 972992, 'reputation': 695, 'user_id': 995110, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d7e2371e0c63bfb4ef7bfa37561b0ee?s=256&d=identicon&r=PG', 'display_name': 'cptloop', 'link': 'https://stackoverflow.com/users/995110/cptloop'}",False,1876,26-11-2013,11304926,30146633,CC BY-SA 3.0
"{'account_id': 1136690, 'reputation': 100652, 'user_id': 1180620, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/FXaAg.jpg?s=256&g=1', 'display_name': 'Mark Adler', 'link': 'https://stackoverflow.com/users/1180620/mark-adler'}",False,1748,16-10-2015,20765054,54158279,CC BY-SA 3.0
"{'account_id': 36137, 'reputation': 177709, 'user_id': 102937, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/1233ec65168f4aae4d939ae8fe6cde1e?s=256&d=identicon&r=PG', 'display_name': 'Robert Harvey', 'link': 'https://stackoverflow.com/users/102937/robert-harvey'}",False,1541,11-06-2014,2003505,37300870,CC BY-SA 3.0
"{'account_id': 10893, 'reputation': 48416, 'user_id': 20774, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/3e32e31d4c24c1558abd6567f2ab60ba?s=256&d=identicon&r=PG', 'display_name': 'James McMahon', 'link': 'https://stackoverflow.com/users/20774/james-mcmahon'}",False,1513,22-11-2011,53522,10110919,CC BY-SA 3.0
"{'account_id': 394822, 'reputation': 3447, 'user_id': 757461, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/9bd447630fc7fe13519626e687987c5d?s=256&d=identicon&r=PG', 'display_name': 'adriendenat', 'link': 'https://stackoverflow.com/users/757461/adriendenat'}",False,1396,13-03-2013,3296701,21766075,CC BY-SA 3.0
"{'account_id': 1201625, 'reputation': 6679, 'user_id': 1172174, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/5vijs.jpg?s=256&g=1', 'display_name': 'Gus', 'link': 'https://stackoverflow.com/users/1172174/gus'}",False,1379,15-02-2012,784929,11728310,CC BY-SA 3.0
"{'account_id': 2172, 'reputation': 362095, 'user_id': 2988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed181f8c80df53d2b67a4f4fff088ed4?s=256&d=identicon&r=PG', 'display_name': 'J&#246;rg W Mittag', 'link': 'https://stackoverflow.com/users/2988/j%c3%b6rg-w-mittag'}",False,1202,10-03-2009,630475,443250,CC BY-SA 2.5
"{'account_id': 163429, 'reputation': 1501, 'user_id': 385571, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7fb2b188a95faee2db8e1b7365719adf?s=256&d=identicon&r=PG', 'display_name': 'MattBianco', 'link': 'https://stackoverflow.com/users/385571/mattbianco'}",False,1161,01-09-2010,409305,3801330,CC BY-SA 2.5
"{'account_id': 1090797, 'reputation': 8477, 'user_id': 1085483, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/6b0625923fdca55e4ab88a1d7542c3f8?s=256&d=identicon&r=PG', 'display_name': 'Rui Marques', 'link': 'https://stackoverflow.com/users/1085483/rui-marques'}",False,987,14-11-2013,6943704,29735882,CC BY-SA 3.0
"{'account_id': 2812953, 'reputation': 3066, 'user_id': 2418793, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/nQ6dp.jpg?s=256&g=1', 'display_name': 'Azurespot', 'link': 'https://stackoverflow.com/users/2418793/azurespot'}",False,925,19-05-2014,16754643,36502904,CC BY-SA 3.0
