owner,score,last_edit_date,last_activity_date,creation_date,post_type,post_id,content_license,link
"{'account_id': 559988, 'reputation': 463860, 'user_id': 922184, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/h7WDB.jpg?s=256&g=1', 'display_name': 'Mysticial', 'link': 'https://stackoverflow.com/users/922184/mysticial'}",34726,20-08-2022,20-08-2022,27-06-2012,answer,11227902,CC BY-SA 4.0,https://stackoverflow.com/a/11227902
"{'account_id': 24436, 'reputation': 73056, 'user_id': 62130, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/520c9c078b8d25980de17b8d4fe0ceba?s=256&d=identicon&r=PG', 'display_name': 'Esko Luontola', 'link': 'https://stackoverflow.com/users/62130/esko-luontola'}",28076,05-07-2023,05-07-2023,29-05-2009,answer,927386,CC BY-SA 4.0,https://stackoverflow.com/a/927386
"{'account_id': 31692, 'reputation': 493099, 'user_id': 87234, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/FkjBe.png?s=256&g=1', 'display_name': 'GManNickG', 'link': 'https://stackoverflow.com/users/87234/gmannickg'}",27028,11-05-2023,30-05-2023,27-06-2012,question,11227809,CC BY-SA 4.0,https://stackoverflow.com/q/11227809
"{'account_id': 32399, 'reputation': 48987, 'user_id': 89904, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/4fef65cead13e5d519f6bce3c501a537?s=256&d=identicon&r=PG', 'display_name': 'Hamza Yerlikaya', 'link': 'https://stackoverflow.com/users/89904/hamza-yerlikaya'}",25742,23-05-2023,06-07-2023,29-05-2009,question,927358,CC BY-SA 4.0,https://stackoverflow.com/q/927358
"{'account_id': 33990, 'reputation': 455204, 'user_id': 95592, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/uMfjc.jpg?s=256&g=1', 'display_name': 'Matthew Rankin', 'link': 'https://stackoverflow.com/users/95592/matthew-rankin'}",25394,24-06-2023,24-06-2023,05-01-2010,answer,2003515,CC BY-SA 4.0,https://stackoverflow.com/a/2003515
"{'account_id': 33990, 'reputation': 455204, 'user_id': 95592, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/uMfjc.jpg?s=256&g=1', 'display_name': 'Matthew Rankin', 'link': 'https://stackoverflow.com/users/95592/matthew-rankin'}",20190,03-01-2023,24-06-2023,05-01-2010,question,2003505,CC BY-SA 4.0,https://stackoverflow.com/q/2003505
"{'account_id': 168805, 'reputation': 199686, 'user_id': 394487, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c1ea49f769f4a6fcc59d4594c55156b2?s=256&d=identicon&r=PG', 'display_name': 'siride', 'link': 'https://stackoverflow.com/users/394487/siride'}",18427,04-09-2022,04-09-2022,06-07-2011,answer,6591218,CC BY-SA 4.0,https://stackoverflow.com/a/6591218
"{'account_id': 7996, 'reputation': 55806, 'user_id': 14113, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/0aa0013bf7a5451dfb36bbce25f75526?s=256&d=identicon&r=PG', 'display_name': 'EfForEffort', 'link': 'https://stackoverflow.com/users/14113/efforeffort'}",18281,25-01-2022,25-01-2022,07-10-2008,answer,179147,CC BY-SA 4.0,https://stackoverflow.com/a/179147
"{'account_id': 6018, 'reputation': 576591, 'user_id': 9951, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/5bde6be7c103aa64082aa254f66deb51?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Bite code', 'link': 'https://stackoverflow.com/users/9951/bite-code'}",17710,01-10-2022,01-10-2022,23-10-2008,answer,231855,CC BY-SA 4.0,https://stackoverflow.com/a/231855
"{'account_id': 304108, 'reputation': 121983, 'user_id': 613430, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5f366a9456858ee82f3044437ec7d735?s=256&d=identicon&r=PG', 'display_name': 'Tom Wadley', 'link': 'https://stackoverflow.com/users/613430/tom-wadley'}",16256,29-06-2022,29-06-2022,23-04-2011,answer,5767357,CC BY-SA 4.0,https://stackoverflow.com/a/5767357
