tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title
"['java', 'c++', 'performance', 'cpu-architecture', 'branch-prediction']","{'account_id': 31692, 'reputation': 493099, 'user_id': 87234, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/FkjBe.png?s=256&g=1', 'display_name': 'GManNickG', 'link': 'https://stackoverflow.com/users/87234/gmannickg'}",True,1821535,02-05-2014,11227902,25,27028,30-05-2023,27-06-2012,11-05-2023,11227809,CC BY-SA 4.0,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array,Why is processing a sorted array faster than processing an unsorted array?
"['git', 'version-control', 'repository', 'git-commit', 'undo']","{'account_id': 32399, 'reputation': 48987, 'user_id': 89904, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/4fef65cead13e5d519f6bce3c501a537?s=256&d=identicon&r=PG', 'display_name': 'Hamza Yerlikaya', 'link': 'https://stackoverflow.com/users/89904/hamza-yerlikaya'}",True,12896945,10-06-2013,927386,105,25742,06-07-2023,29-05-2009,23-05-2023,927358,CC BY-SA 4.0,https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git,How do I undo the most recent local commits in Git?
"['git', 'version-control', 'git-branch', 'git-push', 'git-remote']","{'account_id': 33990, 'reputation': 455204, 'user_id': 95592, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/uMfjc.jpg?s=256&g=1', 'display_name': 'Matthew Rankin', 'link': 'https://stackoverflow.com/users/95592/matthew-rankin'}",True,11029537,20-01-2013,2003515,43,20190,24-06-2023,05-01-2010,03-01-2023,2003505,CC BY-SA 4.0,https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely,How do I delete a Git branch locally and remotely?
"['git', 'version-control', 'git-pull', 'git-fetch']","{'account_id': 4105, 'reputation': 278315, 'user_id': 6068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/931970b8dc51b72e05e3a12b88612d61?s=256&d=identicon&r=PG', 'display_name': 'pupeno', 'link': 'https://stackoverflow.com/users/6068/pupeno'}",True,3381317,10-03-2013,292359,38,13642,30-05-2023,15-11-2008,18-07-2022,292357,CC BY-SA 4.0,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,What is the difference between &#39;git pull&#39; and &#39;git fetch&#39;?
"['python', 'iterator', 'generator', 'yield']","{'account_id': 9828, 'reputation': 142650, 'user_id': 18300, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/jcyI4.jpg?s=256&g=1', 'display_name': 'Alex. S.', 'link': 'https://stackoverflow.com/users/18300/alex-s'}",True,3217218,11-02-2013,231855,51,12650,21-06-2023,23-10-2008,21-06-2023,231767,CC BY-SA 4.0,https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do-in-python,What does the &quot;yield&quot; keyword do in Python?
"['javascript', 'arrays']","{'account_id': 151241, 'reputation': 127589, 'user_id': 364969, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/79e7cefc9e7deb0e0bf422baa1a38a2c?s=256&d=identicon&r=PG', 'display_name': 'Walker', 'link': 'https://stackoverflow.com/users/364969/walker'}",True,11775584,15-12-2014,5767357,146,11535,03-07-2023,23-04-2011,06-02-2023,5767325,CC BY-SA 4.0,https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array-in-javascript,How can I remove a specific item from an array in JavaScript?
"['json', 'mime-types', 'content-type']","{'account_id': 7412, 'reputation': 235112, 'user_id': 12870, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/f0af40756420859b5b63cbceb6d30505?s=256&d=identicon&r=PG', 'display_name': 'Oli', 'link': 'https://stackoverflow.com/users/12870/oli'}",True,3777293,25-06-2015,477819,38,11436,12-06-2023,25-01-2009,29-08-2022,477816,CC BY-SA 4.0,https://stackoverflow.com/questions/477816/which-json-content-type-do-i-use,Which JSON content type do I use?
"['git', 'version-control', 'git-branch']","{'account_id': 135377, 'reputation': 122043, 'user_id': 338204, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/c145a12cd17d3b3ffff033681a694abe?s=256&d=identicon&r=PG', 'display_name': 'Forrest', 'link': 'https://stackoverflow.com/users/338204/forrest'}",True,5063433,25-06-2017,6591218,40,11293,24-03-2023,06-07-2011,25-07-2022,6591213,CC BY-SA 4.0,https://stackoverflow.com/questions/6591213/how-do-i-rename-a-local-git-branch,How do I rename a local Git branch?
"['git', 'undo', 'git-add']","{'account_id': 7974, 'reputation': 152597, 'user_id': 14069, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/0c29cc6ee1c170810ee1fd36fa7c2f95?s=256&d=identicon&r=PG', 'display_name': 'oz10', 'link': 'https://stackoverflow.com/users/14069/oz10'}",True,5143972,31-01-2013,348234,38,11099,01-02-2023,07-12-2008,25-07-2022,348170,CC BY-SA 4.0,https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit,How do I undo &#39;git add&#39; before commit?
"['c++', 'c', 'operators', 'code-formatting', 'standards-compliance']","{'account_id': 31692, 'reputation': 493099, 'user_id': 87234, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/FkjBe.png?s=256&g=1', 'display_name': 'GManNickG', 'link': 'https://stackoverflow.com/users/87234/gmannickg'}",True,980593,10-02-2011,1642035,28,10035,10-04-2023,29-10-2009,30-03-2023,1642028,CC BY-SA 4.0,https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c-c,What is the &#39;--&gt;&#39; operator in C/C++?
